Site,Model,Fraction,N_train,R2,RMSE,Time_s
UK-AMo,RandomForest,0.1,2389,-1.0862591431886464,1.583550272520127,0.13
UK-AMo,XGBoost,0.1,2389,-1.0259701709627183,1.560501722009234,0.17
UK-AMo,RandomForest,0.2,4779,-0.027115852463463153,1.1111109943358655,0.15
UK-AMo,XGBoost,0.2,4779,-0.6863233778334437,1.4236989319157969,0.19
UK-AMo,RandomForest,0.3,7169,0.3882231809443182,0.8575199594072611,0.24
UK-AMo,XGBoost,0.3,7169,-0.07674424979479522,1.1376377884702853,0.2
UK-AMo,RandomForest,0.4,9559,0.41751824153577455,0.836736845414604,0.28
UK-AMo,XGBoost,0.4,9559,0.03292306257140187,1.07814765363437,0.2
UK-AMo,RandomForest,0.5,11949,0.3411588083028907,0.8898936358152719,0.36
UK-AMo,XGBoost,0.5,11949,0.12347666408774172,1.0264303152804921,0.21
UK-AMo,RandomForest,0.6,14339,0.36381205003633843,0.8744610062198618,0.41
UK-AMo,XGBoost,0.6,14339,0.2915677622525269,0.9227772666129924,0.21
UK-AMo,RandomForest,0.7,16729,0.42516558813551253,0.831225979238761,0.49
UK-AMo,XGBoost,0.7,16729,0.09614370759677182,1.0423112415367901,0.22
UK-AMo,RandomForest,0.8,19119,0.47673458548232817,0.7930649278044951,0.55
UK-AMo,XGBoost,0.8,19119,0.08293790042959714,1.0498979832055355,0.23
UK-AMo,RandomForest,0.9,21509,0.48591986988872204,0.7860734678820848,0.72
UK-AMo,XGBoost,0.9,21509,0.13688465847312348,1.0185495163355245,0.24
UK-AMo,RandomForest,1.0,23899,0.4373317263994483,0.822382656524373,0.76
UK-AMo,XGBoost,1.0,23899,0.15385053288828388,1.0084892459783632,0.24
SE-Htm,RandomForest,0.1,2389,-0.17217902830781506,1.7862269261717185,0.1
SE-Htm,XGBoost,0.1,2389,-0.4698195865832251,2.000191942535122,0.17
SE-Htm,RandomForest,0.2,4779,-0.3152846239002478,1.892123718502445,0.15
SE-Htm,XGBoost,0.2,4779,-0.8048087917967333,2.2164363149374697,0.19
SE-Htm,RandomForest,0.3,7169,-0.3480487885802661,1.9155454613200604,0.22
SE-Htm,XGBoost,0.3,7169,-0.8871229385472141,2.2664166658765206,0.19
SE-Htm,RandomForest,0.4,9559,-0.5568524962497909,2.0585593468341212,0.28
SE-Htm,XGBoost,0.4,9559,-0.8473692790049696,2.2424177210721337,0.2
SE-Htm,RandomForest,0.5,11949,-0.580269234241882,2.073983040689669,0.36
SE-Htm,XGBoost,0.5,11949,-0.9636276342484518,2.311900963141291,0.2
SE-Htm,RandomForest,0.6,14339,-0.5359613235077245,2.0447009475843934,0.42
SE-Htm,XGBoost,0.6,14339,-1.0391774573568169,2.3559559658190703,0.21
SE-Htm,RandomForest,0.7,16729,-0.4886807592758826,2.0129845698000675,0.47
SE-Htm,XGBoost,0.7,16729,-1.0512119066512589,2.3628977167393503,0.22
SE-Htm,RandomForest,0.8,19119,-0.38834365524658754,1.9439636873910964,0.54
SE-Htm,XGBoost,0.8,19119,-0.8227704742025894,2.227438135284434,0.22
SE-Htm,RandomForest,0.9,21509,-0.6226822019642317,2.101630655175396,0.67
SE-Htm,XGBoost,0.9,21509,-0.8555573260452904,2.2473817317021725,0.23
SE-Htm,RandomForest,1.0,23899,-0.9470196919860456,2.3021034210035185,0.72
SE-Htm,XGBoost,1.0,23899,-1.8944816928714823,2.806887857482997,0.24
