Site,Temporal_Unit,Value,Label,Mean_Uncertainty,Mean_MAE,N_samples
UK-AMo,Hour,0,00:00,1.0462653027760376,1.5655308760524613,758
UK-AMo,Hour,1,01:00,1.052201237887356,1.5201739256929674,378
UK-AMo,Hour,2,02:00,1.0668738780596458,1.492196218980092,377
UK-AMo,Hour,3,03:00,1.076981410513333,1.4850592708614154,375
UK-AMo,Hour,4,04:00,1.072607465951593,1.4836290023525995,374
UK-AMo,Hour,5,05:00,1.0710157437186965,1.5206530980215933,372
UK-AMo,Hour,6,06:00,1.0907729417983607,1.5602005560619225,378
UK-AMo,Hour,7,07:00,1.0911917342723716,1.5648887974515924,376
UK-AMo,Hour,8,08:00,1.0974099334062775,1.5997292652176103,378
UK-AMo,Hour,9,09:00,1.0815516264367933,1.5766178186887938,378
UK-AMo,Hour,10,10:00,1.0823203329220072,1.5918963076692512,379
UK-AMo,Hour,11,11:00,1.0875147379352927,1.5747671261191332,376
UK-AMo,Hour,12,12:00,1.0921069887741317,1.552446222936325,380
UK-AMo,Hour,13,13:00,1.0838013500150026,1.5552050442791943,380
UK-AMo,Hour,14,14:00,1.0729084816369665,1.5487713580554914,376
UK-AMo,Hour,15,15:00,1.0574580336824877,1.5508719457794744,378
UK-AMo,Hour,16,16:00,1.040911776445181,1.539706217264118,375
UK-AMo,Hour,17,17:00,1.0325473607300744,1.5520170213419995,377
UK-AMo,Hour,18,18:00,1.0241175661243505,1.5358474998685288,377
UK-AMo,Hour,19,19:00,1.0213950600617427,1.5231234165995957,375
UK-AMo,Hour,20,20:00,1.0317969339029274,1.5634858760617352,381
UK-AMo,Hour,21,21:00,1.0260597612847457,1.5562912410616827,378
UK-AMo,Hour,22,22:00,1.0220690989746364,1.5706657166840206,379
UK-AMo,Month,1,Jan,0.4117747911628736,0.6394114891190172,1260
UK-AMo,Month,2,Feb,0.6433966397826856,0.8489988903742264,593
UK-AMo,Month,3,Mar,1.3913316263282636,1.2823854014294287,583
UK-AMo,Month,4,Apr,1.3523337965494102,1.1637408963137081,592
UK-AMo,Month,5,May,1.3929698218303619,2.314036758162226,576
UK-AMo,Month,6,Jun,2.0176046097633704,2.785104695245125,609
UK-AMo,Month,7,Jul,1.782263458552659,2.142894344203497,596
UK-AMo,Month,8,Aug,1.9443846669539777,2.8663127495627796,587
UK-AMo,Month,9,Sep,1.5051555619068717,3.131334019482665,550
UK-AMo,Month,10,Oct,1.1283443493040732,1.8464435511827417,578
UK-AMo,Month,11,Nov,0.8680217632031411,1.8492258484601936,565
UK-AMo,Month,12,Dec,0.45352873845912445,0.7366745639612114,1966
UK-AMo,Season,0,Winter,0.4692348635943943,0.7220259259045875,3819
UK-AMo,Season,1,Spring,1.3786856442495246,1.5816393331539202,1751
UK-AMo,Season,2,Summer,1.915348229991776,2.5981134891422526,1792
UK-AMo,Season,3,Autumn,1.16388121036994,2.264790719243414,1693
SE-Htm,Hour,0,00:00,2.0344450896750716,3.3529761925112007,418
SE-Htm,Hour,1,01:00,2.05007280797778,3.3762017796514696,209
SE-Htm,Hour,2,02:00,2.0667090938153585,3.367363258407818,209
SE-Htm,Hour,3,03:00,2.028423888892129,3.3661949914524616,209
SE-Htm,Hour,4,04:00,2.0078034646336227,3.366414816572184,209
SE-Htm,Hour,5,05:00,1.981471565660921,3.373180273285406,209
SE-Htm,Hour,6,06:00,1.9943349004444786,3.3655932769407353,209
SE-Htm,Hour,7,07:00,2.0046340941937224,3.3740862253850312,209
SE-Htm,Hour,8,08:00,2.0212240898665095,3.3674638370657477,209
SE-Htm,Hour,9,09:00,2.029259279269646,3.3831794595816533,209
SE-Htm,Hour,10,10:00,2.057127905241506,3.38368286156647,209
SE-Htm,Hour,11,11:00,2.0544889865484364,3.396070629868699,209
SE-Htm,Hour,12,12:00,2.0679276089045895,3.373460645356905,209
SE-Htm,Hour,13,13:00,2.0834032499074904,3.355935525095249,209
SE-Htm,Hour,14,14:00,2.0895316798656443,3.335022486802781,208
SE-Htm,Hour,15,15:00,2.086242886825122,3.337938650798224,208
SE-Htm,Hour,16,16:00,2.0739611097691446,3.3343350112273438,208
SE-Htm,Hour,17,17:00,2.056276885221607,3.3517758358610092,208
SE-Htm,Hour,18,18:00,2.067874076939767,3.345365483782559,208
SE-Htm,Hour,19,19:00,2.059595835133604,3.344629954534789,208
SE-Htm,Hour,20,20:00,2.058474871581778,3.33861250008508,208
SE-Htm,Hour,21,21:00,2.0410340348191665,3.3431286240362925,208
SE-Htm,Hour,22,22:00,2.0249332818991115,3.334181173578271,208
SE-Htm,Month,1,Jan,0.5140266308828276,0.9102837613360383,960
SE-Htm,Month,2,Feb,1.0763771279306895,1.9594629521788358,600
SE-Htm,Month,3,Mar,1.8626838032286017,2.82835434726461,600
SE-Htm,Month,4,Apr,2.4398474973224933,3.846512125235713,600
SE-Htm,Month,5,May,2.567146170345967,4.470067147284039,600
SE-Htm,Month,6,Jun,2.971348832866578,5.054008729851276,624
SE-Htm,Month,7,Jul,2.914056628292397,4.8180734896815105,600
SE-Htm,Month,8,Aug,3.248677350006393,4.818938485456309,423
SE-Htm,Season,0,Winter,0.7303152835935436,1.3138142193524986,1560
SE-Htm,Season,1,Spring,2.2898924902990205,3.7149778732614545,1800
SE-Htm,Season,2,Summer,3.0217038055475935,4.907684590518593,1647
