Method,R2,R2_ci_low,R2_ci_high,RMSE,MAE,SkillScore,R2_h1,R2_h6,R2_h24,R2_h48,R2_h96,Site
TEMPO Fine-Tuned,0.3524,0.3255,0.3813,2.471,1.5325,0.4261,0.8298,0.5193,0.4847,0.3388,0.1844,UK-AMo
TEMPO Zero-Shot,0.2991,0.2789,0.3218,2.5706,1.5842,0.4029,0.7703,0.3849,0.4157,0.2671,0.2638,UK-AMo
Random Forest,0.3445,0.3286,0.3574,2.4859,1.9202,0.4226,0.6062,0.4902,0.4291,0.3302,0.2563,UK-AMo
XGBoost,0.3143,0.3009,0.3269,2.5425,2.0046,0.4095,0.6332,0.4728,0.3772,0.2828,0.1934,UK-AMo
LSTM,0.3002,0.2774,0.3217,2.5686,1.7939,0.4034,0.4936,0.4003,0.3317,0.2928,0.2686,UK-AMo
Simple Average,0.4046,0.3877,0.4197,2.3692,1.7093,0.4497,0.7169,0.551,0.4872,0.3836,0.3017,UK-AMo
Perf-Weighted,0.4094,0.3896,0.4262,2.3597,1.6868,0.4519,0.7359,0.5604,0.4988,0.3889,0.2971,UK-AMo
Optimized Weights,0.4168,0.3963,0.4402,2.3448,1.5582,0.4554,0.7847,0.5752,0.525,0.4008,0.2881,UK-AMo
Stacking-Ridge,0.4334,0.409,0.4559,2.3112,1.477,0.4632,0.8233,0.6063,0.5437,0.4119,0.2976,UK-AMo
Stacking-Lasso,0.4334,0.4106,0.4568,2.3113,1.4773,0.4632,0.8233,0.6063,0.5437,0.4119,0.2976,UK-AMo
Stacking-ElasticNet,0.4334,0.4116,0.4546,2.3111,1.4771,0.4632,0.8233,0.6064,0.5437,0.4119,0.2977,UK-AMo
Stacking-LinearReg,0.4334,0.4124,0.4562,2.3112,1.477,0.4632,0.8233,0.6063,0.5437,0.4119,0.2976,UK-AMo
Selective-K2,0.414,0.3943,0.4367,2.3504,1.5943,0.4541,0.7758,0.5744,0.5224,0.3978,0.2838,UK-AMo
Selective-K3,0.4022,0.3826,0.4177,2.374,1.7125,0.4486,0.7476,0.5607,0.4975,0.3806,0.2729,UK-AMo
Horizon-Adaptive,0.4172,0.3955,0.436,2.3439,1.5576,0.4556,0.7877,0.5753,0.5254,0.401,0.2889,UK-AMo
TEMPO Fine-Tuned,0.7279,0.724,0.7314,5.0197,3.8419,0.6302,0.8714,0.761,0.7284,0.7359,0.691,SE-Htm
TEMPO Zero-Shot,0.7405,0.7362,0.7448,4.9018,3.6489,0.6388,0.8429,0.7473,0.736,0.7405,0.7415,SE-Htm
Random Forest,0.3327,0.3281,0.3371,7.8607,6.6607,0.4208,0.443,0.423,0.3771,0.3246,0.2435,SE-Htm
XGBoost,0.3284,0.3258,0.331,7.8862,6.625,0.419,0.4992,0.471,0.3606,0.3087,0.202,SE-Htm
LSTM,0.3163,0.3013,0.3297,7.9568,6.5075,0.4138,0.3755,0.3623,0.3218,0.3097,0.2182,SE-Htm
Simple Average,0.5116,0.5081,0.5147,6.7255,5.5495,0.5045,0.6379,0.5924,0.5336,0.5024,0.4198,SE-Htm
Perf-Weighted,0.6567,0.6535,0.6601,5.6387,4.4374,0.5846,0.8011,0.7236,0.6727,0.6528,0.5873,SE-Htm
Optimized Weights,0.7279,0.7242,0.7312,5.0197,3.8419,0.6302,0.8714,0.761,0.7284,0.7359,0.691,SE-Htm
Stacking-Ridge,0.7281,0.7237,0.7323,5.0176,3.8417,0.6303,0.8567,0.7367,0.7302,0.7448,0.6932,SE-Htm
Stacking-Lasso,0.7282,0.7249,0.7322,5.0168,3.841,0.6304,0.8568,0.7368,0.7303,0.7448,0.6933,SE-Htm
Stacking-ElasticNet,0.7283,0.7246,0.7323,5.0164,3.8407,0.6304,0.8568,0.7368,0.7303,0.7449,0.6933,SE-Htm
Stacking-LinearReg,0.7281,0.7242,0.7329,5.0176,3.8417,0.6303,0.8567,0.7367,0.7302,0.7448,0.6932,SE-Htm
Selective-K2,0.6243,0.6215,0.6276,5.8981,4.6883,0.5654,0.7636,0.6829,0.6473,0.6147,0.5518,SE-Htm
Selective-K3,0.548,0.5448,0.551,6.4695,5.2867,0.5233,0.6731,0.6326,0.5766,0.5383,0.4616,SE-Htm
Horizon-Adaptive,0.7279,0.724,0.7316,5.0197,3.8419,0.6302,0.8714,0.761,0.7284,0.7359,0.691,SE-Htm
