Site,Model,Slope,Intercept,R2_h1,R2_h96,HalfLife_h,Slope_pvalue
UK-AMo,Random Forest,-0.002442,0.702,0.7473,0.4871,,0.0
UK-AMo,XGBoost,-0.002326,0.5771,0.7321,0.3737,,0.0
UK-AMo,LSTM,-0.003221,0.5154,0.5858,0.2224,71.0,0.0
UK-AMo,TEMPO Zero-Shot,-0.003812,0.5684,0.8135,0.255,30.0,0.0
UK-AMo,TEMPO Fine-Tuned,-0.002794,0.7344,0.8787,0.4814,,0.0
SE-Htm,Random Forest,-0.00185,0.3612,0.3772,0.1967,,0.0
SE-Htm,XGBoost,-0.001126,0.3337,0.4037,0.1748,96.0,0.0
SE-Htm,LSTM,-0.00226,0.3353,0.3379,0.1513,56.0,0.0
SE-Htm,TEMPO Zero-Shot,-0.000488,0.7759,0.8623,0.7422,,0.0
SE-Htm,TEMPO Fine-Tuned,-0.001231,0.7881,0.8864,0.6813,,0.0
