Site,Model,R2_below_60%_at_h,R2_below_50%_at_h,R2_below_30%_at_h,R2_at_h6,R2_at_h24,R2_at_h48,R2_at_h96
UK-AMo,Random Forest,34.0,81.0,,0.6967,0.6383,0.5692,0.4871
UK-AMo,XGBoost,3.0,28.0,,0.5653,0.5076,0.4517,0.3737
UK-AMo,LSTM,1.0,4.0,69.0,0.4732,0.4434,0.3838,0.2224
UK-AMo,TEMPO Zero-Shot,4.0,8.0,62.0,0.5178,0.5576,0.396,0.255
UK-AMo,TEMPO Fine-Tuned,46.0,85.0,,0.6967,0.6831,0.5998,0.4814
SE-Htm,Random Forest,1.0,1.0,33.0,0.3567,0.3132,0.2621,0.1967
SE-Htm,XGBoost,1.0,1.0,23.0,0.3834,0.2953,0.2699,0.1748
SE-Htm,LSTM,1.0,1.0,17.0,0.3315,0.2758,0.2105,0.1513
SE-Htm,TEMPO Zero-Shot,,,,0.7705,0.7632,0.7525,0.7422
SE-Htm,TEMPO Fine-Tuned,,,,0.7778,0.7478,0.7297,0.6813
