Config,Group,Label,Model,Site,R2,R2_baseline,Transfer_Gain
A_cov_020pct,Coverage,20% data,Random Forest,UK-AMo,-0.16299597488280892,0.5593818028186037,-0.7223777777014126
A_cov_020pct,Coverage,20% data,XGBoost,UK-AMo,0.01882082223892212,0.532408744096756,-0.5135879218578339
A_cov_020pct,Coverage,20% data,XGBoost,SE-Htm,0.20594191551208496,0.37581151723861694,-0.16986960172653198
A_cov_020pct,Coverage,20% data,LSTM,UK-AMo,0.06214505434036255,0.46845483779907227,-0.4063097834587097
A_cov_020pct,Coverage,20% data,LSTM,SE-Htm,0.054191529750823975,0.1835411787033081,-0.12934964895248413
A_cov_040pct,Coverage,40% data,Random Forest,UK-AMo,0.18401595894087308,0.5593818028186037,-0.37536584387773064
A_cov_040pct,Coverage,40% data,Random Forest,SE-Htm,0.2715978114255082,0.3319949293984059,-0.06039711797289771
A_cov_040pct,Coverage,40% data,XGBoost,UK-AMo,0.355340838432312,0.532408744096756,-0.17706790566444397
A_cov_040pct,Coverage,40% data,XGBoost,SE-Htm,0.31936919689178467,0.37581151723861694,-0.056442320346832275
A_cov_040pct,Coverage,40% data,LSTM,UK-AMo,-0.003931522369384766,0.46845483779907227,-0.47238636016845703
A_cov_040pct,Coverage,40% data,LSTM,SE-Htm,0.14672797918319702,0.1835411787033081,-0.036813199520111084
A_cov_060pct,Coverage,60% data,Random Forest,UK-AMo,0.4043402517344564,0.5593818028186037,-0.1550415510841473
A_cov_060pct,Coverage,60% data,Random Forest,SE-Htm,0.31458897978756295,0.3319949293984059,-0.017405949610842963
A_cov_060pct,Coverage,60% data,XGBoost,UK-AMo,0.430996298789978,0.532408744096756,-0.10141244530677795
A_cov_060pct,Coverage,60% data,XGBoost,SE-Htm,0.34923088550567627,0.37581151723861694,-0.026580631732940674
A_cov_060pct,Coverage,60% data,LSTM,UK-AMo,0.1396467089653015,0.46845483779907227,-0.32880812883377075
B_loo_0_FILom,LOO,LOO: −FI-Lom,Random Forest,SE-Htm,0.25493246507185385,0.3319949293984059,-0.07706246432655206
B_loo_0_FILom,LOO,LOO: −FI-Lom,XGBoost,SE-Htm,0.35335391759872437,0.37581151723861694,-0.022457599639892578
B_loo_0_FILom,LOO,LOO: −FI-Lom,LSTM,UK-AMo,0.34152913093566895,0.46845483779907227,-0.12692570686340332
B_loo_0_FILom,LOO,LOO: −FI-Lom,LSTM,SE-Htm,0.06551867723464966,0.1835411787033081,-0.11802250146865845
B_loo_1_GLZaF,LOO,LOO: −GL-ZaF,Random Forest,SE-Htm,0.31558891220263063,0.3319949293984059,-0.01640601719577528
B_loo_1_GLZaF,LOO,LOO: −GL-ZaF,XGBoost,SE-Htm,0.35680240392684937,0.37581151723861694,-0.019009113311767578
B_loo_1_GLZaF,LOO,LOO: −GL-ZaF,LSTM,UK-AMo,0.43435633182525635,0.46845483779907227,-0.03409850597381592
B_loo_1_GLZaF,LOO,LOO: −GL-ZaF,LSTM,SE-Htm,0.14950835704803467,0.1835411787033081,-0.03403282165527344
B_loo_2_IECra,LOO,LOO: −IE-Cra,Random Forest,UK-AMo,0.5029154964877055,0.5593818028186037,-0.05646630633089822
B_loo_2_IECra,LOO,LOO: −IE-Cra,Random Forest,SE-Htm,0.2268567697766115,0.3319949293984059,-0.1051381596217944
B_loo_2_IECra,LOO,LOO: −IE-Cra,XGBoost,UK-AMo,0.5160421133041382,0.532408744096756,-0.016366630792617798
B_loo_2_IECra,LOO,LOO: −IE-Cra,XGBoost,SE-Htm,0.34047645330429077,0.37581151723861694,-0.03533506393432617
B_loo_3_DEAkm,LOO,LOO: −DE-Akm,Random Forest,UK-AMo,0.3562531237742673,0.5593818028186037,-0.2031286790443364
B_loo_3_DEAkm,LOO,LOO: −DE-Akm,Random Forest,SE-Htm,0.24811236614239252,0.3319949293984059,-0.0838825632560134
B_loo_3_DEAkm,LOO,LOO: −DE-Akm,XGBoost,UK-AMo,0.3781883716583252,0.532408744096756,-0.1542203724384308
B_loo_3_DEAkm,LOO,LOO: −DE-Akm,LSTM,UK-AMo,0.4324108362197876,0.46845483779907227,-0.03604400157928467
B_loo_3_DEAkm,LOO,LOO: −DE-Akm,LSTM,SE-Htm,0.08301979303359985,0.1835411787033081,-0.10052138566970825
